job_id,title,seniority,company,industry,company_size,location,posted_date,listing_age_days,salary,salary_missing,repost_count,repost_interval_days,company_open_roles,company_closed_roles,closure_ratio,hiring_velocity,role_recycling_score,engagement_latency,status,is_ghost,listing_longevity_ratio,open_close_ratio
F35A9EB9,Sales Executive,Junior,Drift Networks,Healthcare,enterprise,"Austin, TX",13-02-2026,15,72530,0,1,85,3,11,1,0.25,0.0359,9,open,0,0.5,0.2727
050D76BB,Backend Developer,Intern,Quark Systems,Education,enterprise,"Toronto, CA",27-01-2026,32,43689,0,0,0,11,17,1,0.92,0.01,1,open,0,1.0667,0.6471
723AF0AF,Frontend Developer,Mid-level,Echo Analytics,Media,mid,"New York, NY",02-02-2026,26,110425,0,0,0,16,22,1,1.33,0.0717,3,closed,0,0.8667,0.7273
771EFE29,Sales Executive,Intern,Echo Innovations,Education,startup,"Seattle, WA",20-08-2025,192,,1,5,16,18,1,0.0556,1.5,0.7751,13,open,1,6.4,18
C349F477,Site Reliability Engineer,Director,Vertex Partners,Logistics,enterprise,"Miami, FL",10-02-2026,18,,1,1,57,17,18,1,1.42,0.0917,1,closed,0,0.6,0.9444
58F70E2A,UX Designer,Senior,Grid Systems,Retail,mid,"London, UK",22-07-2025,221,,1,5,10,32,0,0,2.67,0.9226,11,open,1,7.3667,64
8D3A881E,Security Engineer,Mid-level,Cipher Intelligence,Education,startup,"Toronto, CA",30-08-2025,182,,1,12,10,37,2,0.163876051,3.08,0.8312,36,open,1,6.0667,18.5
648788EC,Data Analyst,Junior,Monolith Ventures,Education,enterprise,"Toronto, CA",30-01-2026,29,63838,0,0,0,3,23,1,0.25,0.0224,7,closed,0,0.9667,0.1304
30D4228B,Financial Analyst,Principal,Apex Group,Retail,startup,"Denver, CO",05-11-2025,115,,1,10,10,51,0,0,4.25,0.8065,40,open,1,3.8333,102
A5201F4C,Scrum Master,Senior,Luminary Systems,Consulting,enterprise,"Toronto, CA",17-02-2026,11,119384,0,1,72,3,16,1,0.25,0.2471,10,open,0,0.3667,0.1875
38EBB067,Marketing Manager,Director,Axiom Studio,Technology,enterprise,"Atlanta, GA",16-01-2026,57,199378,0,1,0,6,6,1,0.5,0.222174748,7,closed,0,1.9,1
EE68FECC,Site Reliability Engineer,Junior,Lynx Intelligence,Retail,startup,"New York, NY",15-02-2026,13,61099,0,1,80,8,23,1,0.67,0.114,3,open,0,0.4333,0.3478
28EF1DBB,UX Designer,Principal,Pulse Studio,Consulting,startup,"Seattle, WA",26-02-2026,2,170795,0,1,42,12,19,1,1,0.3232,1,closed,0,0.0667,0.6316
77D13F19,Full Stack Developer,Junior,Catalyst Platforms,Media,mid,"Denver, CO",14-01-2026,45,70740,0,1,83,17,17,1,1.42,0.1533,3,open,0,1.5,1
2A073A76,Site Reliability Engineer,Principal,Lynx Intelligence,Retail,startup,"Denver, CO",16-01-2026,43,209827,0,0,0,4,25,1,0.33,0.0156,4,open,0,1.4333,0.16
A210ADCA,Technical Lead,Lead,Cascade Innovations,Technology,mid,"Los Angeles, CA",15-01-2026,44,178946,0,1,86,16,10,0.625,1.33,0.3338,7,open,0,1.4667,1.6
60EA6F01,ML Engineer,Principal,Flux Innovations,Consulting,startup,"Boston, MA",08-02-2026,20,161763,0,1,82,14,8,0.5714,1.17,0.074,6,open,0,0.6667,1.75
13DEB8B3,Data Engineer,Lead,Arch Dynamics,Healthcare,enterprise,"Chicago, IL",30-01-2026,29,180093,0,0,0,4,15,1,0.33,0.0327,5,closed,0,0.9667,0.2667
CE3DC007,Scrum Master,Lead,Ionic Consulting,Finance,startup,"Phoenix, AZ",13-07-2025,230,,1,5,19,56,1,0.0179,4.67,0.8386,41,open,1,7.6667,56
5FB7FEA6,Backend Developer,Senior,Meridian Analytics,Media,enterprise,"New York, NY",29-01-2026,30,122121,0,0,0,9,18,1,0.75,0.3406,4,open,0,1,0.5
5E2FDF48,Security Engineer,Lead,Neon Digital,Consulting,enterprise,"Boston, MA",21-02-2026,24,152743,0,3,31,18,14,0.7778,1.5,0.528779217,2,open,0,0.8,1.2857
FFFA32FA,DevOps Engineer,Intern,Echo Innovations,Education,startup,"Chicago, IL",30-05-2025,274,,1,12,19,16,1,0.0625,1.33,0.8579,38,open,1,9.1333,16
768891FB,Backend Developer,Intern,Titan Partners,Technology,enterprise,Remote,12-02-2026,16,,1,0,0,6,16,1,0.5,0.1186,4,closed,0,0.5333,0.375
D5197CB0,Frontend Developer,Senior,Monolith Partners,Manufacturing,startup,"Denver, CO",27-02-2026,1,125062,0,1,38,6,12,1,0.5,0.001,4,closed,0,0.0333,0.5
1F8FD775,Marketing Manager,Director,Axiom Studio,Technology,enterprise,"Toronto, CA",12-12-2025,78,245381,0,5,14,24,3,0.125,2,0.8119,36,closed,1,2.6,8
AF384089,Full Stack Developer,Principal,Quantum Solutions,Finance,enterprise,"Chicago, IL",17-02-2026,22,197525,0,3,41,19,7,0.3684,1.58,0.534041031,4,open,0,0.7333,2.7143
B772C9D4,Scrum Master,Mid-level,Grid Systems,Retail,mid,"Atlanta, GA",27-06-2025,246,86985,0,5,15,57,4,0.0702,4.75,0.6532,39,open,1,8.2,14.25
0F90BD07,Technical Lead,Senior,Axiom Labs,Logistics,enterprise,"Seattle, WA",12-09-2025,169,,1,12,11,59,3,0.0508,4.92,0.9485,38,open,1,5.6333,19.6667
B3C62D58,Product Manager,Junior,Monolith Studio,Retail,mid,"Dallas, TX",15-12-2025,75,,1,4,18,48,1,0.0208,4,0.7693,33,open,1,2.5,48
C07AEEBB,Operations Manager,Junior,Ionic Partners,Retail,mid,Remote,01-08-2025,211,,1,10,13,50,3,0.06,4.17,0.7841,36,open,1,7.0333,16.6667
4A503CED,Product Manager,Senior,Catalyst Platforms,Media,mid,"Dallas, TX",23-02-2026,5,150174,0,0,0,17,19,1,1.42,0.047,10,closed,0,0.1667,0.8947
4DADA522,Data Scientist,Mid-level,Zenith Studio,Consulting,enterprise,"Los Angeles, CA",15-01-2026,44,94164,0,0,0,11,12,1,0.92,0.3394,6,open,0,1.4667,0.9167
3ED67D7F,Site Reliability Engineer,Junior,Catalyst Studio,Logistics,startup,"San Francisco, CA",24-02-2026,22,,1,3,54,6,25,1,0.5,0.428961386,2,closed,0,0.7333,0.24
E18020F0,Data Engineer,Principal,Quark Systems,Education,enterprise,"Los Angeles, CA",23-01-2026,36,197131,0,1,31,14,10,0.7143,1.17,0.3442,9,closed,0,1.2,1.4
DA196632,Operations Manager,Lead,Forge Global,Logistics,startup,"Atlanta, GA",14-05-2025,290,154991,0,3,16,29,1,0.166082035,2.42,0.9117,28,open,1,9.6667,29
EA4F4664,ML Engineer,Lead,Pulse Dynamics,Technology,startup,"Berlin, DE",28-01-2026,31,157323,0,1,62,20,7,0.35,1.67,0.0932,3,open,0,1.0333,2.8571
85AB2BAE,Cloud Architect,Principal,Cascade Works,Logistics,startup,"New York, NY",23-09-2025,158,,1,8,15,20,0,0,1.67,0.8694,23,open,1,5.2667,40
C809F74A,Frontend Developer,Mid-level,Cipher Intelligence,Education,startup,"San Francisco, CA",22-02-2026,36,93628,0,1,0,12,20,1,1,0.403346307,1,closed,0,1.2,0.6
C5701C39,Security Engineer,Director,Prism Innovations,Retail,enterprise,"Los Angeles, CA",14-05-2025,290,,1,12,7,37,0,0,3.08,0.9353,45,open,1,9.6667,74
B0B7ACA0,Backend Developer,Director,Catalyst Platforms,Media,mid,"Boston, MA",03-02-2026,25,,1,0,0,19,24,1,1.58,0.0319,10,closed,0,0.8333,0.7917
25B5EE74,Full Stack Developer,Intern,Vector Global,Technology,enterprise,"Austin, TX",31-01-2026,28,43402,0,1,73,2,5,1,0.17,0.307,10,closed,0,0.9333,0.4
95D2CFA7,ML Engineer,Lead,Jade Innovations,Technology,startup,"Dallas, TX",26-04-2025,308,,1,8,21,58,0,0,4.83,0.6557,20,open,1,10.2667,116
F5D574BB,UX Designer,Lead,Meridian Capital,Retail,mid,"Toronto, CA",26-09-2025,155,,1,9,17,42,0,0,3.5,0.9906,24,open,1,5.1667,84
E84D3F10,Full Stack Developer,Senior,Arch Group,Manufacturing,enterprise,"Boston, MA",15-12-2025,75,,1,4,14,22,2,0.0909,1.83,0.7488,32,open,1,2.5,11
F9BACBAA,Platform Engineer,Lead,Cipher Intelligence,Education,startup,"Los Angeles, CA",29-08-2025,183,140916,0,11,16,19,0,0,1.58,0.9005,28,open,1,6.1,38
E1214C52,Platform Engineer,Senior,Vertex Partners,Logistics,enterprise,"Berlin, DE",30-01-2026,29,,1,0,0,7,16,1,0.58,0.1815,1,closed,0,0.9667,0.4375
502E5323,HR Generalist,Senior,Apex Digital,Media,enterprise,"New York, NY",24-02-2026,4,140033,0,1,34,6,13,1,0.5,0.1155,7,open,0,0.1333,0.4615
200B415E,Backend Developer,Senior,Flux Studio,Finance,enterprise,"Denver, CO",13-02-2026,15,154239,0,1,88,14,6,0.4286,1.17,0.2176,5,closed,0,0.5,2.3333
15F8590D,Platform Engineer,Junior,Kore Innovations,Consulting,startup,"Miami, FL",25-01-2026,34,,1,1,56,11,10,0.9091,0.92,0.2648,3,open,0,1.1333,1.1
F3B8B7E5,Security Engineer,Junior,Prism Platforms,Retail,enterprise,Remote,26-02-2026,2,82977,0,1,55,7,14,1,0.58,0.0797,8,closed,0,0.0667,0.5
12113838,Product Manager,Lead,Vertex Partners,Logistics,enterprise,"Miami, FL",23-02-2026,5,149824,0,1,61,19,20,1,1.58,0.177,3,closed,0,0.1667,0.95
053C40EB,Data Scientist,Junior,Helix Works,Consulting,mid,"Miami, FL",23-01-2026,54,78667,0,2,0,20,11,0.55,1.67,0.420364944,2,closed,0,1.8,1.8182
A1B55DFF,Sales Executive,Lead,Zenith Dynamics,Healthcare,enterprise,"San Francisco, CA",27-02-2026,1,175880,0,0,0,14,23,1,1.17,0.0258,7,closed,0,0.0333,0.6087
ADEB86D4,Site Reliability Engineer,Mid-level,Pinnacle Studio,Consulting,startup,"Chicago, IL",27-03-2025,338,,1,8,7,40,2,0.05,3.33,0.9822,39,open,1,11.2667,20
7CDFBCE8,Business Analyst,Director,Jade Ventures,Retail,startup,"Seattle, WA",25-02-2026,3,214876,0,1,69,12,10,0.8333,1,0.2206,2,closed,0,0.1,1.2
42454603,Software Engineer,Principal,Axiom Labs,Logistics,enterprise,"Boston, MA",03-11-2025,117,184233,0,12,9,52,1,0.0192,4.33,0.7414,25,open,1,3.9,52
6D30D2DA,Software Engineer,Mid-level,Flux Innovations,Consulting,startup,"Austin, TX",24-01-2026,35,115331,0,0,0,13,11,0.8462,1.08,0.2058,7,open,0,1.1667,1.1818
2C873816,Data Engineer,Principal,Quark Solutions,Media,enterprise,"Los Angeles, CA",28-02-2025,365,197000,0,3,7,36,1,0.0278,3,0.674,45,open,1,12.1667,36
CC51023A,UX Designer,Principal,Vertex Partners,Logistics,enterprise,"Atlanta, GA",06-02-2026,22,169827,0,0,0,13,21,1,1.08,0.1322,2,open,0,0.7333,0.619
DA266D7C,Frontend Developer,Director,Meridian Analytics,Media,enterprise,"New York, NY",15-02-2026,13,214396,0,0,0,16,9,0.5625,1.33,0.0753,10,open,0,0.4333,1.7778
D198D08B,Operations Manager,Junior,Vector Global,Technology,enterprise,"San Francisco, CA",24-01-2026,35,55268,0,1,55,16,10,0.625,1.33,0.1603,5,open,0,1.1667,1.6
2FA9BA01,ML Engineer,Principal,Helix Works,Consulting,mid,"San Francisco, CA",17-12-2025,73,,1,10,11,31,3,0.0968,2.58,0.8541,22,open,1,2.4333,10.3333
DB1A4C07,Product Manager,Intern,Axiom Studio,Technology,enterprise,"Chicago, IL",11-02-2026,44,40597,0,1,0,15,20,1,1.25,0.513218898,1,closed,0,1.4667,0.75
D4619730,Product Manager,Mid-level,Flux Innovations,Consulting,startup,"Toronto, CA",10-02-2026,18,109003,0,1,38,14,6,0.4286,1.17,0.1527,10,closed,0,0.6,2.3333
82DDC770,Software Engineer,Junior,Meridian Analytics,Media,enterprise,"Austin, TX",15-02-2026,13,55890,0,1,81,4,16,1,0.33,0.1311,4,closed,0,0.4333,0.25
30D8309E,DevOps Engineer,Senior,Meridian Capital,Retail,mid,"Phoenix, AZ",10-12-2025,80,,1,10,12,60,4,0.0667,5,0.6894,19,open,1,2.6667,15
A1DFB799,Full Stack Developer,Senior,Monolith Analytics,Media,enterprise,"Dallas, TX",23-07-2025,220,128607,0,9,8,49,2,0.0408,4.08,0.7579,26,open,1,7.3333,24.5
9160D877,Frontend Developer,Mid-level,Cipher Intelligence,Education,startup,"Toronto, CA",06-04-2025,328,103059,0,9,15,19,1,0.0526,1.58,0.8108,18,open,1,10.9333,19
18D71C62,Site Reliability Engineer,Mid-level,Axiom Studio,Technology,enterprise,"Toronto, CA",31-10-2025,120,88351,0,9,14,50,3,0.06,4.17,0.9129,35,open,1,4,16.6667
34954D7E,Frontend Developer,Senior,Nexus Dynamics,Media,mid,"Los Angeles, CA",25-03-2025,340,140456,0,6,7,42,1,0.114252059,3.5,0.9388,28,open,1,11.3333,42
DCDCF373,Data Scientist,Director,Prism Labs,Manufacturing,enterprise,"Atlanta, GA",01-02-2026,27,206780,0,0,0,6,20,1,0.5,0.2752,7,open,0,0.9,0.3
B2014681,Business Analyst,Director,Prism Dynamics,Technology,enterprise,"New York, NY",18-01-2026,41,225246,0,0,0,16,10,0.625,1.33,0.0537,5,open,0,1.3667,1.6
21FD333C,Data Scientist,Intern,Quantum Solutions,Finance,enterprise,"London, UK",02-12-2025,88,,1,8,11,49,2,0.098198876,4.08,0.6889,18,open,1,2.9333,24.5
6B4430C6,Product Manager,Intern,Ionic Platforms,Education,startup,"Phoenix, AZ",19-10-2025,132,52075,0,8,11,36,3,0.0833,3,0.7719,16,open,1,4.4,12
17A8F7D2,Technical Lead,Intern,Monolith Consulting,Finance,mid,"Berlin, DE",25-01-2026,52,58426,0,3,61,9,21,1,0.75,0.368519871,6,closed,0,1.7333,0.4286
4D8B50D9,UX Designer,Principal,Ridge Studio,Media,enterprise,"Seattle, WA",21-01-2026,38,174458,0,1,43,3,9,1,0.25,0.0596,6,closed,0,1.2667,0.3333
30AB4B50,QA Engineer,Mid-level,Helix Global,Finance,startup,"Phoenix, AZ",23-03-2025,342,117672,0,6,14,32,2,0.176117837,2.67,0.7672,15,open,1,11.4,16
C1FD4C4F,Full Stack Developer,Mid-level,Pulse Studio,Consulting,startup,"Los Angeles, CA",31-01-2026,28,108837,0,0,0,8,5,0.625,0.67,0.0078,7,closed,0,0.9333,1.6
BD1B1A1D,ML Engineer,Junior,Echo Innovations,Education,startup,Remote,03-11-2025,117,,1,12,18,47,0,0,3.92,0.8238,15,open,1,3.9,94
E9BD692D,Sales Executive,Intern,Pulse Technologies,Media,mid,"Austin, TX",25-02-2026,19,,1,1,0,11,15,1,0.92,0.58045842,10,open,0,0.6333,0.7333
B0C379D5,Marketing Manager,Senior,Catalyst Studio,Logistics,startup,"Phoenix, AZ",07-06-2025,266,,1,4,15,29,0,0,2.42,0.6924,44,closed,1,8.8667,58
A87FB94F,Business Analyst,Junior,Opus Technologies,Media,startup,"Boston, MA",02-02-2026,26,69727,0,1,78,16,14,0.875,1.33,0.3234,3,open,0,0.8667,1.1429
C7A7850E,Platform Engineer,Mid-level,Jade Innovations,Technology,startup,"Dallas, TX",03-12-2025,87,,1,10,13,26,4,0.240636106,2.17,0.8747,19,open,1,2.9,6.5
93DBDA02,Full Stack Developer,Intern,Apex Group,Retail,startup,"Miami, FL",16-10-2025,135,,1,9,20,41,0,0,3.42,0.961,40,open,1,4.5,82
E42A8595,Data Engineer,Director,Cascade Innovations,Technology,mid,"Dallas, TX",16-02-2026,12,227157,0,0,0,20,9,0.45,1.67,0.2642,1,closed,0,0.4,2.2222
C15E5129,DevOps Engineer,Junior,Monolith Partners,Manufacturing,startup,"Toronto, CA",11-02-2026,17,64505,0,0,0,6,16,1,0.5,0.1124,1,closed,0,0.5667,0.375
F9E15117,Site Reliability Engineer,Lead,Ionic Consulting,Finance,startup,"Denver, CO",08-02-2026,47,147020,0,2,31,4,23,1,0.33,0.5087279,5,closed,0,1.5667,0.1739
C27F86B6,DevOps Engineer,Intern,Helix Partners,Media,mid,"San Francisco, CA",23-02-2026,5,37348,0,0,0,19,9,0.4737,1.58,0.305,6,open,0,0.1667,2.1111
A9417343,Platform Engineer,Lead,Quantum Solutions,Finance,enterprise,"Atlanta, GA",21-07-2025,222,,1,8,9,51,3,0.0588,4.25,0.7174,35,open,1,7.4,17
8A0C1B56,Platform Engineer,Director,Apex Group,Retail,startup,"Chicago, IL",19-10-2025,132,234475,0,3,10,59,3,0.0508,4.92,0.6575,12,open,1,4.4,19.6667
C00264A0,HR Generalist,Director,Zenith Studio,Consulting,enterprise,"Atlanta, GA",23-02-2026,5,219989,0,0,0,6,15,1,0.5,0.138,9,open,0,0.1667,0.4
A19A02A5,Sales Executive,Director,Catalyst Group,Technology,mid,"Boston, MA",21-02-2026,7,241483,0,0,0,12,19,1,1,0.1202,4,closed,0,0.2333,0.6316
DF5D7A02,Scrum Master,Director,Opus Technologies,Media,startup,"Phoenix, AZ",19-02-2026,9,175673,0,0,0,12,7,0.5833,1,0.1447,2,closed,0,0.3,1.7143
1DA36E90,ML Engineer,Junior,Kore Innovations,Consulting,startup,"New York, NY",08-02-2026,20,59893,0,1,72,4,24,1,0.33,0.2799,8,open,0,0.6667,0.1667
5B0C479F,ML Engineer,Director,Catalyst Studio,Logistics,startup,"Atlanta, GA",04-06-2025,269,,1,4,11,54,1,0.0185,4.5,0.7255,22,open,1,8.9667,54
417BFE7B,Product Manager,Lead,Monolith Solutions,Consulting,startup,"San Francisco, CA",12-11-2025,108,,1,11,9,55,3,0.0545,4.58,0.8022,18,open,1,3.6,18.3333
0F45E4C9,UX Designer,Mid-level,Meridian Group,Logistics,startup,"Denver, CO",04-11-2025,116,97401,0,9,16,34,0,0,2.83,0.9025,40,open,1,3.8667,68
83FC0860,Frontend Developer,Intern,Opus Technologies,Media,startup,"Chicago, IL",23-02-2026,5,56345,0,1,34,11,20,1,0.92,0.2634,4,closed,0,0.1667,0.55
7EC079F1,Data Engineer,Mid-level,Catalyst Partners,Healthcare,startup,"San Francisco, CA",01-02-2026,27,100372,0,1,84,20,12,0.6,1.67,0.0475,5,closed,0,0.9,1.6667
681596F1,Software Engineer,Lead,Cascade Works,Logistics,startup,"Chicago, IL",13-11-2025,107,181817,0,3,16,57,1,0.0175,4.75,0.8978,17,open,1,3.5667,57
9F854331,Scrum Master,Lead,Neon Digital,Consulting,enterprise,"Los Angeles, CA",13-08-2025,199,,1,8,16,21,4,0.1905,1.75,0.8485,33,open,1,6.6333,5.25
1BADD0E0,Operations Manager,Lead,Zenith Studio,Consulting,enterprise,"Boston, MA",04-02-2026,24,158102,0,0,0,18,25,1,1.5,0.2455,4,open,0,0.8,0.72
98F1606E,Product Manager,Junior,Ridge Systems,Retail,enterprise,"Denver, CO",14-01-2026,45,66574,0,1,62,14,23,1,1.17,0.2795,1,closed,0,1.5,0.6087
F9853FAB,Sales Executive,Intern,Monolith Studio,Retail,mid,"London, UK",27-12-2025,63,54957,0,11,17,38,4,0.1053,3.17,0.7545,16,open,1,2.1,9.5
6F1E8F53,Data Engineer,Mid-level,Pulse Technologies,Media,mid,"Dallas, TX",28-05-2025,276,,1,9,20,37,3,0.0811,3.08,0.7558,43,open,1,9.2,12.3333
3ACFEC68,Technical Lead,Intern,Jade Innovations,Technology,startup,Remote,22-04-2025,312,,1,9,21,60,2,0.127561622,5,0.9228,40,open,1,10.4,30
C048ECA3,Product Manager,Intern,Cipher Intelligence,Education,startup,"Dallas, TX",11-02-2026,42,37685,0,1,0,14,9,0.6429,1.17,0.237389083,9,open,0,1.4,1.5556
72ED39CE,UX Designer,Principal,Nova Dynamics,Technology,enterprise,"Austin, TX",16-01-2026,43,179666,0,1,71,7,12,1,0.58,0.1316,6,open,0,1.4333,0.5833
49B6B3AC,ML Engineer,Director,Apex Digital,Media,enterprise,"Denver, CO",18-02-2026,10,,1,1,66,8,22,1,0.67,0.1147,9,closed,0,0.3333,0.3636
10C7AE9C,QA Engineer,Director,Catalyst Innovations,Media,startup,"Atlanta, GA",15-12-2025,75,249839,0,8,13,55,4,0.0727,4.58,0.7156,17,open,1,2.5,13.75
0EC95C22,UX Designer,Senior,Monolith Consulting,Finance,mid,"Miami, FL",14-05-2025,290,,1,12,20,29,1,0.136625849,2.42,0.8761,20,open,1,9.6667,29
E5BCDA2F,Financial Analyst,Mid-level,Echo Innovations,Education,startup,Remote,23-05-2025,281,102454,0,6,16,47,2,0.0426,3.92,0.9929,38,open,1,9.3667,23.5
4C111F42,Data Engineer,Principal,Prism Innovations,Retail,enterprise,"Miami, FL",23-05-2025,281,,1,9,7,54,1,0.0185,4.5,0.7861,23,open,1,9.3667,54
78185AA2,Sales Executive,Intern,Monolith Solutions,Consulting,startup,"Berlin, DE",12-05-2025,292,,1,10,19,23,3,0.1304,1.92,0.8694,10,open,1,9.7333,7.6667
16A694DA,Backend Developer,Senior,Monolith Ventures,Education,enterprise,"Berlin, DE",18-01-2026,41,123733,0,0,0,16,9,0.5625,1.33,0.1418,1,open,0,1.3667,1.7778
3CED2DDA,Operations Manager,Senior,Orion Works,Retail,mid,"Los Angeles, CA",08-02-2026,20,117728,0,1,80,11,6,0.5455,0.92,0.3314,5,closed,0,0.6667,1.8333
0D1506F4,Data Analyst,Junior,Flux Innovations,Consulting,startup,"Miami, FL",02-02-2026,26,62151,0,1,68,15,21,1,1.25,0.0878,6,closed,0,0.8667,0.7143
01317FD3,ML Engineer,Director,Ionic Group,Finance,mid,"Denver, CO",27-02-2026,1,223824,0,0,0,3,9,1,0.25,0.2052,4,open,0,0.0333,0.3333
3AF3360B,Frontend Developer,Senior,Nexus Dynamics,Media,mid,"Toronto, CA",19-01-2026,65,157956,0,3,64,16,8,0.5,1.33,0.317487211,3,open,0,2.1667,2
4557D09F,Frontend Developer,Director,Helix Partners,Media,mid,Remote,14-02-2026,14,219741,0,1,32,20,5,0.25,1.67,0.3226,6,closed,0,0.4667,4
C9AD8603,Scrum Master,Intern,Ridge Consulting,Retail,enterprise,"Boston, MA",07-02-2026,21,44786,0,1,80,16,22,1,1.33,0.0484,6,closed,0,0.7,0.7273
AFD9EA41,Security Engineer,Director,Axiom Labs,Logistics,enterprise,"Los Angeles, CA",12-06-2025,261,,1,8,12,43,2,0.0465,3.58,0.6976,16,open,1,8.7,21.5
79A8F2C4,Financial Analyst,Junior,Pinnacle Studio,Consulting,startup,"Miami, FL",06-08-2025,206,,1,5,9,31,0,0,2.58,0.8875,13,open,1,6.8667,62
0637E00E,UX Designer,Principal,Apex Digital,Media,enterprise,"Miami, FL",22-02-2026,6,182043,0,0,0,18,18,1,1.5,0.3464,1,closed,0,0.2,1
